playerID,year,PrevPerformance,Performance_weighted_2yr,Performance_weighted_3yr,Performance_weighted_4yr,team_PrevPerformance,team_Performance_weighted_2yr,team_Performance_weighted_3yr,team_Performance_weighted_4yr,finals_mvp
abrossv01w,2,0.0,0.0,0.0,0.0,-1.3127603530781267,0.0,0.0,0.0,0
abrossv01w,3,27.171554213704383,0.0,0.0,0.0,0.4596103894443644,-0.9293794238312743,0.0,0.0,0
abrossv01w,4,23.81026722925457,24.818653324589512,0.0,0.0,-0.5514840889465535,0.05421015651772535,-0.7154184514209677,0.0,0
abrossv01w,5,23.403157894736836,23.525290695092156,24.278969958885668,0.0,-1.766343460241213,-1.5775154445740687,-1.1204327105493463,-1.3858616648945188,0
abrossv01w,6,17.629725310660564,19.361755085883445,20.597863469602245,20.954347634773114,-1.3000784262274743,-1.8277071758960202,-1.1704974576384903,-1.1209462916847661,0
abrossv01w,7,20.67185600748013,19.75921679843426,20.305477175885603,20.634859738541188,-0.6608619988720399,-0.3910249796566383,-1.70002932804499,-1.3929578211253568,0
abrossv01w,8,17.437295582133267,18.407663709737324,18.446149655442785,18.871386379009436,-1.438202570649306,-1.8199840081396483,-1.6161712857127508,-1.8340318434645118,0
abrossv01w,9,23.738353730754046,21.84803628616781,21.23473674151303,21.09225169309842,-1.5154329581840675,-1.3384220946967889,-0.7495676695217987,-0.38366075587694765,0
adairje01w,11,0.0,0.0,0.0,0.0,,,,,0
adamsda01w,11,0.0,0.0,0.0,0.0,,,,,0
adamsjo01w,4,0.0,0.0,0.0,0.0,-0.5514840889465535,0.05421015651772535,-0.7154184514209677,0.0,0
aguilel01w,3,0.0,0.0,0.0,0.0,-0.04545575966192889,0.48408752093087853,0.0,0.0,0
ajavoma01w,9,0.0,0.0,0.0,0.0,0.18393722091185855,0.46491927510552034,0.8834465084509336,0.707278774033877,0
ajavoma01w,10,15.912800331400165,0.0,0.0,0.0,-0.5942473057219624,-0.5425536475136329,-0.7781987699407301,-1.12675255269775,0
ajavoma01w,11,15.809683794466402,15.84061875554653,0.0,0.0,,,,,0
aldrima01w,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
aldrima01w,2,8.588250319284803,0.0,0.0,0.0,-0.7426589952505435,0.0,0.0,0.0,0
alhalta01w,2,0.0,0.0,0.0,0.0,-0.24389243620494028,0.0,0.0,0.0,0
allench01w,9,0.0,0.0,0.0,0.0,-0.87940087890479,-0.0674451418103015,0.253334442505625,0.35213141237086903,0
amachma01w,2,0.0,0.0,0.0,0.0,-0.12418781255909135,0.0,0.0,0.0,0
amachma01w,4,0.0,0.0,0.0,0.0,0.13287588014500182,0.14261040397842212,-0.47943009824960464,0.0,0
amachma01w,6,6.685714285714285,4.679999999999999,0.0,0.0,-0.038377093929602424,-0.3315164011615171,-0.28069934623304854,0.11335854208907362,0
ambermo01w,3,0.0,0.0,0.0,0.0,0.6334531919826312,1.5262314982230365,0.0,0.0,0
anderam01w,7,0.0,0.0,0.0,0.0,-0.05082166072372254,0.21187820751381722,-0.12579874211498454,0.20383994611666398,0
anderch01w,4,0.0,0.0,0.0,0.0,1.0135972874806174,0.968154723289522,1.9296711732718037,0.0,0
anderch01w,5,6.983566433566434,0.0,0.0,0.0,0.3528329912842579,0.22271628153346584,0.9641006581472815,1.808186003211901,0
anderch01w,6,7.11625,7.07644493006993,0.0,0.0,-0.9780238913449025,-0.31825776403609324,-0.9706171123822311,-0.29152065127775945,0
anderch01w,7,12.648215465961666,10.988625826173166,9.855696019694118,0.0,0.04413092400445314,-0.8722781877441209,-0.3296795943601751,-1.3270746642086007,0
anderch01w,8,16.59394409937888,15.410225509353715,13.514686689477939,13.224820059536501,0.8657501965040258,0.554127405325746,0.4453983948800979,0.9229592439936608,0
anderjo01w,9,0.0,0.0,0.0,0.0,-1.5154329581840675,-1.3384220946967889,-0.7495676695217987,-0.38366075587694765,0
anderke01w,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
anderke01w,2,11.921372549019608,0.0,0.0,0.0,0.14775879787996762,0.0,0.0,0.0,0
anderke01w,3,3.194444444444444,5.812522875816994,0.0,0.0,-0.02421748373770758,0.15934933505369986,0.0,0.0,0
andrame01w,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
andrame01w,2,20.329727564102562,0.0,0.0,0.0,0.24095251484291982,0.0,0.0,0.0,0
andrame01w,3,17.685562865497076,18.47881227507872,0.0,0.0,-0.7111179787551453,-0.05461371562546459,0.0,0.0,0
andrame01w,5,11.678688063063063,13.480750503793267,15.210958404001166,0.0,-0.9740504565006479,-0.45293627409223053,0.5295021141143894,-0.24962460953593033,0
anosini01w,9,0.0,0.0,0.0,0.0,-0.2784763814427015,-1.6958014669867751,-1.8452265127390457,-1.4954856765778084,0
anosini01w,10,30.430530973451326,0.0,0.0,0.0,-1.1867728223974368,-2.46625889578357,-1.8828591653346465,-2.1801802266010553,0
anosini01w,11,36.93566037735849,34.98412155618634,0.0,0.0,,,,,0
appelja01w,11,0.0,0.0,0.0,0.0,,,,,0
arcaija01w,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
arcaija01w,2,21.140611587982832,0.0,0.0,0.0,-1.06598975589543,0.0,0.0,0.0,0
arcaija01w,3,32.86326129666012,29.34646638405693,0.0,0.0,1.5407772343819184,-0.06164718905115981,0.0,0.0,0
arcaija01w,4,25.088410596026492,27.42086580621658,26.63130600460785,0.0,0.7767876161177295,0.09955115611078226,0.05256511848202149,0.0,0
